Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,39,0,45,63.04735217912448,11.7106630023045,342.406238996773,0.0,1.3846150173835878,0.0,45,75,88,99,110,180,340,340,340,340,340
POST,/long_prompt_short,20,0,35,54.12942969996948,13.106446000165306,344.74711299844785,0.0,0.7100589832736347,0.0,37,51,59,65,81,340,340,340,340,340,340
POST,/medium,52,0,57,59.674926346325755,11.55340600234922,394.65053499952774,0.0,1.8461533565114503,0.0,57,67,75,80,88,93,150,390,390,390,390
POST,/short,44,0,63,72.15419843181404,14.152195999486139,202.21103499716264,0.0,1.5621297632019964,0.0,68,80,90,98,110,160,200,200,200,200,200
POST,/short_prompt_long,34,0,59,78.86228852904048,14.5428850009921,394.69135499894037,0.0,1.207100271565179,0.0,73,81,83,88,140,340,390,390,390,390,390
TTFT,ttft/long,39,0,240.0,364.76916630747905,97.20042700064369,1965.1567459986836,0.0,1.3846150173835878,0.0,240,310,320,340,610,2000,2000,2000,2000,2000,2000
TTFT,ttft/long_prompt_short,20,0,250.0,265.2431405498646,136.48529599959147,602.8257779980777,0.0,0.7100589832736347,0.0,260,290,310,310,340,600,600,600,600,600,600
TTFT,ttft/medium,52,0,240.0,348.3025638654278,96.74949899999774,1946.765647000575,0.0,1.8461533565114503,0.0,250,270,310,310,590,970,1900,1900,1900,1900,1900
TTFT,ttft/short,44,0,280.0,391.5519781588624,95.41722299763933,1961.2791079998715,0.0,1.5621297632019964,0.0,300,320,320,340,470,1800,2000,2000,2000,2000,2000
TTFT,ttft/short_prompt_long,34,0,220.0,278.86206158772814,97.1171039964247,973.9464769991173,0.0,1.207100271565179,0.0,230,300,310,320,460,600,970,970,970,970,970
,Aggregated,378,0,150.0,203.3143512987971,11.55340600234922,1965.1567459986836,0.0,13.420114783871696,0.0,150,220,250,300,340,470,980,1900,2000,2000,2000
