Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,1135,0,20,28.50572814535281,11.41219900091528,940.8145410016004,0.0,1.8934025526143106,0.0,20,22,25,27,37,48,79,140,830,940,940
POST,/long_prompt_short,544,0,24,30.845533540360414,13.103448000038043,520.6078949995572,0.0,0.9074986683895903,0.0,24,27,30,32,41,50,84,110,520,520,520
POST,/medium,1678,0,19,28.706506678187925,10.658596002031118,1000.0377200012736,0.0,2.799233024922302,0.0,19,22,25,27,36,48,82,140,910,1000,1000
POST,/short,1143,0,19,26.093233005244254,10.519178002141416,734.8318090007524,0.0,1.9067481212670987,0.0,19,21,23,25,35,48,81,110,710,730,730
POST,/short_prompt_long,1140,0,19,29.935336873620003,10.566455999651225,923.1657109994558,0.0,1.9017435330223031,0.0,19,21,23,25,35,51,100,530,830,920,920
TTFT,ttft/long,1146,0,160.0,169.45178974788138,102.12253500139923,1111.1996270010422,0.0,1.9117527095118942,0.0,160,170,170,180,200,230,280,500,1100,1100,1100
TTFT,ttft/long_prompt_short,547,0,170.0,177.89513553194823,112.1589030008181,945.3084400010994,0.0,0.9125032566343858,0.0,170,180,180,190,210,230,290,600,950,950,950
TTFT,ttft/medium,1690,0,150.0,167.91590312013207,94.96551399934106,1189.2093019996537,0.0,2.8192513779014843,0.0,160,160,170,180,200,220,280,650,1200,1200,1200
TTFT,ttft/short,1145,0,150.0,167.76240854583173,95.39855399998487,1089.8997969998163,0.0,1.9100845134302957,0.0,150,170,170,180,200,250,300,520,970,1100,1100
TTFT,ttft/short_prompt_long,1145,0,150.0,168.9799064811995,103.60111800036975,1101.4857170011965,0.0,1.9100845134302957,0.0,150,160,170,180,200,230,290,820,1100,1100,1100
,Aggregated,11313,0,120.0,99.18700224731447,10.519178002141416,1189.2093019996537,0.0,18.87230227112396,0.0,120,150,160,160,180,200,260,360,1100,1200,1200
