Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,119,0,19,23.100540302574004,11.513891000504373,334.14250599889783,0.0,0.19856246083498647,0.0,19,20,22,24,28,36,48,62,330,330,330
POST,/long_prompt_short,59,0,21,23.046898084800688,13.397222002822673,45.86451499926625,0.0,0.0984469343635647,0.0,21,24,26,29,31,33,36,46,46,46,46
POST,/medium,185,0,18,19.342173929633006,10.781863999000052,61.18792599954759,0.0,0.30868953995355036,0.0,18,19,20,22,26,35,49,58,61,61,61
POST,/short,129,0,17,18.471775457095816,10.621507000905694,47.234010002284776,0.0,0.21524838191355675,0.0,17,18,19,21,26,33,36,38,47,47,47
POST,/short_prompt_long,111,0,18,19.52836502705641,10.677900001610396,53.481749000638956,0.0,0.18521372397213023,0.0,18,20,21,23,27,33,41,46,53,53,53
TTFT,ttft/long,139,0,170.0,169.43642615841384,110.88217099677422,533.3936179995362,0.0,0.23193430299212703,0.0,170,180,180,180,190,200,220,230,530,530,530
TTFT,ttft/long_prompt_short,61,0,180.0,177.14809824586857,138.5044190028566,217.43784800128196,0.0,0.10178411857927877,0.0,180,180,190,190,200,200,210,220,220,220,220
TTFT,ttft/medium,192,0,160.0,164.30930284379505,98.42756499710958,251.6369039985875,0.0,0.3203696847085496,0.0,160,170,180,180,190,190,200,220,250,250,250
TTFT,ttft/short,129,0,160.0,161.92536493783632,98.91572699780227,216.9928599978448,0.0,0.21524838191355675,0.0,160,170,180,180,190,190,210,220,220,220,220
TTFT,ttft/short_prompt_long,130,0,160.0,162.19858369986468,109.46853499990539,412.4792289985635,0.0,0.21691697402141377,0.0,160,170,170,180,190,190,210,230,410,410,410
,Aggregated,1254,0,130.0,95.78693169453726,10.621507000905694,533.3936179995362,0.0,2.0924145032527144,0.0,130,160,170,170,180,190,200,210,410,530,530
