Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,349,0,5000.0,4175.904098171913,12.863711999671068,6143.628945999808,29.369627507163322,0.5825174580438334,0.0,5000,5000,5000,5000,5000,5000,5000,5000,6100,6100,6100
POST,/long_prompt_short,226,0,3500.0,3060.1470165266433,13.475825999194058,5405.804964997515,16.146017699115045,0.37721760893382905,0.0,3600,5000,5000,5000,5000,5000,5000,5000,5400,5400,5400
POST,/medium,606,0,950.0,1652.32035819963,11.091643002146157,5590.227397999115,4.6683168316831685,1.0114773053712407,0.0,970,2200,3000,3700,5000,5000,5000,5000,5600,5600,5600
POST,/short,404,0,19,390.82647534406976,10.77907599756145,5019.895784000255,0.30445544554455445,0.6743182035808272,0.0,19,23,29,35,1800,3100,4100,4600,5000,5000,5000
POST,/short_prompt_long,407,0,5000.0,3979.4361425750994,14.142888998321723,5061.487268001656,26.896805896805898,0.6793255169737541,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5100
TTFT,ttft/long,123,0,2400.0,2419.331841268362,121.93725100223674,5181.306783000764,0.0,0.20529984911000432,0.0,2400,3100,3800,4100,4600,4900,5100,5200,5200,5200,5200
TTFT,ttft/long_prompt_short,139,0,1900.0,1963.440893913848,118.5671610001009,5176.61640499864,0.0,0.23200552053894796,0.0,1900,2800,3200,3700,4300,4800,5100,5100,5200,5200,5200
TTFT,ttft/medium,565,0,260.0,1442.1672323256262,136.22721199863008,5183.918437996908,0.0,0.9430440223345726,0.0,260,1900,2500,2900,3900,4600,5000,5100,5200,5200,5200
TTFT,ttft/short,407,0,210.0,561.930586172061,112.51885299861897,4858.153977002075,0.0,0.6793255169737541,0.0,210,220,230,240,2000,3200,4200,4300,4900,4900,4900
TTFT,ttft/short_prompt_long,169,0,2300.0,2327.7595141893444,127.35217999943416,5137.070830001903,0.0,0.2820786544682173,0.0,2300,3100,3800,4200,4600,4700,5100,5100,5100,5100,5100
,Aggregated,3395,0,1500.0,2042.7782010595356,10.77907599756145,6143.628945999808,8.187923416789396,5.666609656328981,0.0,1500,3000,4300,5000,5000,5000,5000,5000,5300,6100,6100
