Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,125,0,19,21.00985677607241,11.294064999674447,91.21408599821734,0.0,0.2087704257224861,0.0,19,20,20,22,26,40,61,62,91,91,91
POST,/long_prompt_short,76,0,22,24.01535005260245,13.439889000437688,98.30035999766551,0.0,0.12693241883927153,0.0,22,23,25,27,30,37,44,98,98,98,98
POST,/medium,185,0,18,19.19081629727058,10.82458999735536,106.1514309985796,0.0,0.30898023006927944,0.0,18,19,19,20,24,27,46,67,110,110,110
POST,/short,123,0,17,18.74866140641961,10.795540998515207,60.62378500064369,0.0,0.2054300989109263,0.0,17,18,19,19,23,32,47,52,61,61,61
POST,/short_prompt_long,105,0,17,18.372196295101837,10.729786998126656,63.98553500184789,0.0,0.1753671576068883,0.0,17,18,19,19,23,36,37,37,64,64,64
TTFT,ttft/long,144,0,170.0,173.42533011808175,112.10578499958501,640.1356579990534,0.0,0.240503530432304,0.0,170,180,180,180,190,200,250,550,640,640,640
TTFT,ttft/long_prompt_short,76,0,170.0,173.49161290813322,125.78569300239906,271.38249600102426,0.0,0.12693241883927153,0.0,170,180,190,190,200,200,200,270,270,270,270
TTFT,ttft/medium,192,0,160.0,163.50896351038577,99.83683799873688,593.9113210006326,0.0,0.32067137390973866,0.0,160,170,180,180,190,190,210,270,590,590,590
TTFT,ttft/short,124,0,160.0,160.34680231460962,118.1544169994595,253.33008899906417,0.0,0.2071002623167062,0.0,160,170,170,180,180,190,210,210,250,250,250
TTFT,ttft/short_prompt_long,127,0,160.0,161.28272733834547,109.5240009999543,239.19392300012987,0.0,0.21211075253404588,0.0,160,170,180,180,180,190,210,220,240,240,240
,Aggregated,1277,0,130.0,95.65787521611169,10.729786998126656,640.1356579990534,0.0,2.132798669180918,0.0,130,150,160,170,180,190,200,210,590,640,640
