Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/long,49,0,20,24.78503859180949,11.917662999621825,134.846171999925,0.0,0.13647184385015482,0.0,20,21,23,25,35,36,130,130,130,130,130
POST,/long_prompt_short,34,0,22,23.50310911761506,13.431483000204025,64.44516600004135,0.0,0.09469474879398497,0.0,22,23,24,26,28,44,64,64,64,64,64
POST,/medium,88,0,18,21.811848795468077,11.319313000058173,114.66372599988972,0.0,0.2450922909961964,0.0,18,19,20,23,35,48,65,110,110,110,110
POST,/short,62,0,18,22.791973080735083,10.727398000199173,91.55566900062695,0.0,0.17267865956550202,0.0,18,20,22,22,47,59,76,92,92,92,92
POST,/short_prompt_long,43,0,18,24.693863255717673,10.94261500020366,154.5935300000565,0.0,0.11976100582768688,0.0,18,19,23,26,45,53,150,150,150,150,150
TTFT,ttft/long,64,0,150.0,153.07238414065694,122.67888000042149,261.38177899974835,0.0,0.17824893890632465,0.0,150,160,160,170,170,180,260,260,260,260,260
TTFT,ttft/long_prompt_short,34,0,160.0,161.7728030293673,130.7734209995033,255.57008299983863,0.0,0.09469474879398497,0.0,160,160,170,170,170,240,260,260,260,260,260
TTFT,ttft/medium,92,0,150.0,158.01457171738033,118.9014750007118,596.9581839999591,0.0,0.2562328496778417,0.0,150,160,160,170,170,180,240,600,600,600,600
TTFT,ttft/short,63,0,150.0,152.41493617470533,116.41540800064831,260.98655500027235,0.0,0.17546379923591335,0.0,150,160,160,160,170,210,240,260,260,260,260
TTFT,ttft/short_prompt_long,55,0,150.0,148.59128080001526,121.92823399982444,259.2619420001938,0.0,0.15318268187262274,0.0,150,150,160,160,170,180,180,260,260,260,260
,Aggregated,584,0,130.0,92.49462954624487,10.727398000199173,596.9581839999591,0.0,1.6265215675202125,0.0,130,140,150,160,170,170,220,260,600,600,600
