request_id,type,ttft_ms,tokens_received,total_ms,error
90,short,299.93581399867253,128,8657.635973999277,
40,short,788.3028690011997,128,8724.037291000059,
47,short,788.6220889995457,128,8724.163201999545,
35,short,789.6275980001519,128,8728.423915999883,
3,short,792.6217210006143,128,8731.685471999299,
37,short,789.5392289992742,128,8728.992443999232,
53,short,787.2942960002547,128,8728.380669999751,
46,short,788.5523290005949,128,8729.276162001042,
34,short,789.5799580001039,128,8730.487548000383,
44,short,788.882962999196,128,8729.928531000041,
95,short,784.9716380005702,128,8726.145924001685,
93,short,784.0674279996165,128,8726.817488999586,
52,short,787.2344450006494,128,8730.854863000786,
2,short,791.6513219988701,128,8735.566997000205,
41,short,788.2959239996126,128,8732.575539999743,
55,short,788.0490820007253,128,8731.820725000944,
43,short,789.1532699995878,128,8733.198440999331,
78,short,951.5050919999339,128,8841.400417000841,
9,short,957.6647859994409,128,8847.674906000975,
60,short,953.8283989986667,128,8843.477348000306,
67,short,953.4652399997867,128,8843.463040999268,
58,short,954.1783609984122,128,8847.524490000069,
6,short,958.864864998759,128,8852.499005999562,
25,short,958.2789560008678,128,8851.04589399998,
65,short,954.8534179994022,128,8847.925377998763,
77,short,954.3654629997036,128,8847.832587000084,
14,short,959.8656550006126,128,8853.592999999819,
85,short,955.5300659994828,128,8848.15689700008,
19,short,961.0333880009421,128,8853.896689000976,
20,short,961.0773990007146,128,8856.284651999886,
61,short,957.5118459997611,128,8852.983257000233,
72,short,956.8151790008415,128,8852.557562000584,
64,short,957.5194609988102,128,8853.581624998696,
70,short,957.1499970006698,128,8853.460725000332,
82,short,956.2729720000789,128,8852.901881000435,
87,short,955.89931700124,128,8852.782494999701,
79,short,956.625675999021,128,8853.758932998971,
71,short,957.2305440015043,128,8854.613210000025,
18,short,961.7475249997369,128,8859.379835999789,
66,short,957.7475229998527,128,8858.186362000197,
74,short,957.3319829996763,128,8858.005678999689,
98,short,176.46978399898217,128,8482.335687000159,
99,short,236.78589100018144,128,8548.345768000218,
102,short,235.01241200028744,128,8547.719305999635,
103,short,234.85358700054348,128,8547.756011999809,
104,short,234.66942500090227,128,8547.760927000127,
105,short,234.5169470008841,128,8547.885322999718,
109,short,230.52758300036658,128,8548.289700000169,
113,short,174.13060499893618,128,8496.22623599862,
114,short,175.27839399917866,128,8496.225200999106,
116,short,174.82741800085932,128,8495.847428999696,
117,short,239.9609429994598,128,8559.789555998577,
118,short,239.6659810001438,128,8559.997872998792,
120,short,241.12646299909102,128,8562.488379999195,
121,short,240.6057010011864,128,8562.45597400084,
122,short,240.31055200066476,128,8562.472509000145,
123,short,239.94044400023995,128,8562.421560000075,
125,short,237.305438000476,128,8560.127587999887,
126,short,237.03378800018982,128,8560.080889999881,
128,short,236.3604909987771,128,8559.707762999096,
130,short,235.77719800050545,128,8559.422685000754,
131,short,235.4953670001123,128,8559.443533000376,
132,short,235.23113800001738,128,8559.39784200018,
133,short,234.95430100047088,128,8559.334436999052,
135,short,231.8613440002082,128,8556.508855001084,
137,short,201.797522000561,128,9189.570305001325,
138,short,195.8411600007821,128,9195.014434000768,
139,short,196.51844399959373,128,9195.015659001001,
140,short,196.78127400038647,128,9195.140743000593,
142,short,196.49718899927393,128,9194.879099999525,
143,short,197.2943260007014,128,9193.743593001273,
144,short,195.362133999879,128,9200.924536000457,
145,short,195.29874799991376,128,9200.988390999555,
150,short,268.5034240003006,128,9278.315093000856,
151,short,268.9260499992088,128,9279.4930630007,
