utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0 %, 0 %, 14747 MiB
100 %, 60 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 75 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 75 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 80 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 75 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 76 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 77 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 78 %, 14747 MiB
100 %, 79 %, 14747 MiB
100 %, 100 %, 14747 MiB
