utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0 %, 0 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 99 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 99 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 99 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 100 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 99 %, 14747 MiB
100 %, 99 %, 14747 MiB
100 %, 100 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 99 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 97 %, 14747 MiB
100 %, 98 %, 14747 MiB
100 %, 100 %, 14747 MiB
