concurrency,repeat,request_id,sent_at,ttft_ms,total_ms,output_tokens,inter_token_ms,error
48,0,625,232.74,250.4,17991.4,254,70.12,
48,0,626,232.79,718.0,17991.5,249,69.65,
48,0,627,232.79,717.7,17991.5,253,68.55,
48,0,628,232.79,717.9,17991.8,256,67.74,
48,0,629,232.79,717.5,17991.7,250,69.37,
48,0,630,232.83,1187.0,17990.6,255,66.16,
48,0,631,232.83,1186.7,17990.6,255,66.16,
48,0,632,232.83,1186.6,17990.7,256,65.90,
48,0,633,232.84,1187.0,17990.6,252,66.95,
48,0,634,232.99,1556.3,17993.1,256,64.46,
48,0,635,232.99,1556.4,17993.1,254,64.97,
48,0,636,232.99,1556.4,17993.1,250,66.01,
48,0,637,232.99,1556.5,17993.1,255,64.71,
48,0,638,233.50,1557.1,17996.1,250,66.02,
48,0,639,233.50,1556.7,17996.1,254,64.98,
48,0,640,233.50,1556.6,17996.3,252,65.50,
48,0,641,233.51,1555.9,17996.2,255,64.73,
48,0,642,234.02,1561.4,17997.8,253,65.22,
48,0,643,234.02,1561.2,17997.8,254,64.97,
48,0,644,234.02,1561.0,17998.1,252,65.49,
48,0,645,234.02,1560.8,17997.9,252,65.49,
48,0,646,234.54,1560.0,17998.6,255,64.72,
48,0,647,234.54,1560.0,17998.6,254,64.97,
48,0,648,234.54,1560.0,17998.6,249,66.28,
48,0,649,234.54,1560.4,17998.6,250,66.02,
48,0,650,235.06,1564.1,17998.3,256,64.45,
48,0,651,235.06,1564.3,17998.5,253,65.21,
48,0,652,235.06,1564.0,17998.6,253,65.22,
48,0,653,235.06,1563.9,17998.7,255,64.70,
48,0,654,235.58,1557.2,17996.0,251,65.76,
48,0,655,235.58,1556.9,17996.2,255,64.72,
48,0,656,235.58,1557.1,17996.4,254,64.98,
48,0,657,235.58,1557.0,17996.5,254,64.98,
48,0,658,236.10,1558.2,17995.2,254,64.97,
48,0,659,236.10,1558.3,17995.3,254,64.97,
48,0,660,236.10,1558.1,17995.4,252,65.49,
48,0,661,236.10,1558.1,17995.4,256,64.46,
48,0,662,236.62,1558.5,17989.7,254,64.95,
48,0,663,236.62,1558.4,17989.9,246,67.07,
48,0,664,236.63,1557.9,17990.0,253,65.21,
48,0,665,236.63,1556.3,17990.1,256,64.45,
48,0,666,237.14,1457.7,17994.9,254,65.36,
48,0,667,237.14,1457.4,17995.0,252,65.89,
48,0,668,237.14,1457.4,17995.1,255,65.11,
48,0,669,237.66,1343.8,17995.7,254,65.82,
48,0,670,237.66,1343.5,17995.8,254,65.82,
48,0,671,237.66,1343.0,17996.0,253,66.08,
48,0,672,238.18,988.1,17994.9,254,67.22,
48,0,673,250.73,252.0,17996.8,250,71.26,
48,0,674,250.78,722.6,17997.3,256,67.74,
48,0,675,250.78,722.2,17998.2,256,67.75,
48,0,676,250.78,722.3,17998.0,253,68.55,
48,0,677,250.78,722.0,17998.2,256,67.75,
48,0,678,250.82,1194.3,17997.0,253,66.68,
48,0,679,250.82,1193.9,17997.0,254,66.42,
48,0,680,250.83,1193.8,17997.2,254,66.42,
48,0,681,250.83,1194.3,17997.3,252,66.94,
48,0,682,250.98,1561.7,17996.5,253,65.22,
48,0,683,250.98,1561.9,17996.6,255,64.70,
48,0,684,250.98,1562.0,17996.7,253,65.22,
48,0,685,250.98,1562.0,17996.8,252,65.48,
48,0,686,251.50,1559.3,17997.3,256,64.46,
48,0,687,251.50,1559.0,17997.4,255,64.72,
48,0,688,251.50,1558.8,17997.4,254,64.97,
48,0,689,251.50,1558.2,17997.6,255,64.72,
48,0,690,252.02,1559.4,17997.5,254,64.97,
48,0,691,252.02,1559.8,17998.0,254,64.97,
48,0,692,252.02,1559.3,17997.8,252,65.49,
48,0,693,252.02,1559.1,17997.9,255,64.72,
48,0,694,252.54,1556.5,17997.2,255,64.73,
48,0,695,252.54,1556.7,17997.8,254,64.98,
48,0,696,252.54,1556.9,17998.7,255,64.73,
48,0,697,252.54,1557.3,17999.7,249,66.30,
48,0,698,253.06,1555.4,17996.3,252,65.50,
48,0,699,253.06,1555.6,17996.1,255,64.73,
48,0,700,253.06,1555.4,17996.0,254,64.98,
48,0,701,253.06,1555.2,17995.9,254,64.98,
48,0,702,253.58,1555.8,17994.6,253,65.23,
48,0,703,253.58,1555.7,17994.6,255,64.72,
48,0,704,253.58,1555.9,17994.6,255,64.72,
48,0,705,253.58,1555.7,17994.6,254,64.98,
48,0,706,254.10,1558.7,17995.2,255,64.71,
48,0,707,254.10,1558.7,17995.2,254,64.97,
48,0,708,254.10,1558.7,17995.3,253,65.22,
48,0,709,254.10,1558.7,17995.3,251,65.75,
48,0,710,254.61,1563.5,17999.9,253,65.22,
48,0,711,254.61,1563.1,17999.9,252,65.49,
48,0,712,254.62,1562.8,18000.0,252,65.49,
48,0,713,254.62,1561.0,18000.0,254,64.98,
48,0,714,255.13,1455.5,18000.1,252,65.91,
48,0,715,255.13,1455.1,18000.1,256,64.88,
48,0,716,255.14,1454.8,18000.1,252,65.92,
48,0,717,255.66,1347.3,17997.6,251,66.60,
48,0,718,255.66,1347.1,17997.6,252,66.34,
48,0,719,255.66,1346.4,17997.5,254,65.81,
48,0,720,256.18,988.2,17998.1,254,67.23,
48,0,721,268.72,251.9,17997.1,255,69.86,
48,0,722,268.77,722.9,17995.8,256,67.74,
48,0,723,268.78,721.8,17995.9,253,68.55,
48,0,724,268.78,721.7,17995.8,255,68.01,
48,0,725,268.78,721.5,17995.8,254,68.28,
48,0,726,268.82,1195.1,17997.8,254,66.41,
48,0,727,268.82,1194.7,17997.8,256,65.89,
48,0,728,268.82,1194.6,17997.6,254,66.42,
48,0,729,268.82,1194.9,17997.6,249,67.75,
48,0,730,268.98,1562.3,17996.8,256,64.45,
48,0,731,268.98,1563.8,17996.7,256,64.44,
48,0,732,268.98,1564.7,17996.6,254,64.95,
48,0,733,268.98,1565.6,17996.6,252,65.46,
