concurrency,repeat,target_label,completed,errors,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,ttft_max_ms,itl_p50_ms,itl_p99_ms,divergence_ratio,throughput_tps,kv_util_pct_mean,kv_util_pct_max,queue_depth_mean,queue_depth_max,queue_growth_frac,preemption_rate_per_min
48,0,c48,309,0,1557.7,1566.2,1569.6,1570.0,65.24,70.43,1.008,653.1,38.77,48.49,0.00,0,0.000,0.00
71,0,c71,355,0,1366.3,2096.0,2102.0,2105.5,85.03,89.25,1.538,750.5,58.09,69.61,0.00,0,0.000,0.00
95,0,c95,380,0,1577.3,2108.7,2115.0,2116.9,103.58,108.72,1.341,803.2,78.80,95.74,0.00,0,0.000,0.00
103,0,c103,413,0,1597.2,2129.1,2135.7,3290.4,111.89,124.14,1.337,873.1,84.11,95.48,0.54,2,0.130,10.43
108,0,c108,416,0,2649.3,3183.7,3204.7,5552.1,115.38,141.16,1.210,879.2,85.62,100.00,4.42,9,0.304,20.35
108,1,c108_rep1,420,0,2647.3,3182.1,3197.8,5545.6,115.31,140.72,1.208,887.5,85.58,99.51,4.42,8,0.391,20.35
108,2,c108_rep2,420,0,2647.9,3181.3,3196.4,5535.8,115.28,140.76,1.207,887.7,85.52,100.00,4.50,9,0.304,20.35
113,0,c113,372,0,3696.0,3717.0,7595.2,8660.1,119.03,155.49,2.055,786.5,87.00,99.81,7.08,14,0.348,26.61
113,1,c113_rep1,364,0,3687.6,3721.1,7583.8,8654.1,118.86,156.70,2.057,769.2,87.39,99.89,6.96,14,0.391,28.17
113,2,c113_rep2,364,0,3684.6,3710.6,7582.0,8638.9,118.67,155.84,2.058,769.7,87.41,99.89,6.92,14,0.391,28.17
118,0,c118,404,0,4198.6,4736.2,10126.2,11808.0,121.32,168.87,2.412,853.8,87.04,99.72,10.29,20,0.435,31.83
118,1,c118_rep1,418,0,4199.9,4745.8,10141.0,11752.4,121.71,169.90,2.415,883.8,86.99,99.91,11.71,20,0.435,32.35
118,2,c118_rep2,417,0,4202.4,4753.2,10152.1,11760.3,121.80,169.97,2.416,881.8,86.92,99.74,11.75,20,0.435,32.35
123,0,c123,412,0,5237.5,9400.2,14420.8,15167.7,125.46,183.92,2.753,870.5,89.06,99.96,16.25,25,0.478,40.17
128,0,c128,357,0,5762.3,14525.8,17585.5,18724.7,128.45,198.53,3.052,754.6,90.96,99.96,18.83,32,0.565,56.35
135,0,c135,342,0,6318.9,14678.8,18466.8,20823.8,136.32,223.41,2.922,723.0,91.22,99.98,22.71,36,0.522,61.57
145,0,c145,350,0,7864.2,30007.4,30671.1,30672.6,137.78,227.37,3.900,740.0,91.73,100.00,32.79,46,0.478,64.70
155,0,c155,354,0,9291.3,31737.7,32258.4,32263.2,137.83,230.10,3.472,748.0,91.35,99.89,42.92,56,0.522,64.70
